index,Order ID,Date,Status,Fulfilment,Category,Size,ASIN,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code
28275,405-5733672-6981933,04-13-22,Shipped,Amazon,kurta,XS,B09RKBZ7WL,Shipped,1,597,VARANASI,UTTAR PRADESH,221007
28276,408-1934609-8687506,04-13-22,Cancelled,Merchant,kurta,XXL,B0893DRCK6,Null,0,631,VILAYAT GIDC,Gujarat,392020
28277,408-1654120-6593151,04-13-22,Shipped,Amazon,Set,XXL,B099NJQ8JQ,Shipped,1,696,VILAYAT GIDC,Gujarat,392020
28278,405-0381898-6001130,04-13-22,Cancelled,Merchant,kurta,L,B09K3TM23D,Null,0,437,NEW DELHI,DELHI,110031
28279,407-6801303-0741160,04-13-22,Shipped,Amazon,Set,XXL,B09RKF8T2M,Shipped,1,563,BENGALURU,KARNATAKA,562157
28280,405-3177227-4573917,04-13-22,Shipped,Amazon,Set,S,B07V5WFLND,Shipped,1,436,badarpur,ASSAM,788806
28281,407-4466878-8727529,04-13-22,Shipped,Amazon,Set,S,B0822SQ4GV,Shipped,1,751,NAVI MUMBAI,MAHARASHTRA,410210
28282,407-7473207-7750758,04-13-22,Cancelled,Amazon,Set,S,B0822SQ4GV,Unshipped,1,824,NAVI MUMBAI,MAHARASHTRA,410210
28283,171-6767318-0027554,04-13-22,Shipped,Amazon,Set,XXL,B09QJ48G25,Shipped,1,715,Thrissur,KERALA,680007
28284,404-9779654-4429124,04-13-22,Cancelled,Amazon,Set,S,B08XNJ19QH,Unshipped,1,715,NEW DELHI,DELHI,110096
28285,404-9835856-2916357,04-13-22,Shipped,Amazon,kurta,3XL,B08KRZK1NB,Shipped,1,968,GHAZIABAD,UTTAR PRADESH,201013
28286,403-9174347-8731566,04-13-22,Shipped,Amazon,Top,S,B08N48GPXB,Shipped,1,1112,NAVI MUMBAI,MAHARASHTRA,410206
28287,402-7789770-9769942,04-13-22,Shipped,Amazon,kurta,3XL,B08RP3HQH3,Shipped,1,399,kolkata,WEST BENGAL,700039
28288,408-5710594-1177100,04-13-22,Shipped,Amazon,Top,XL,B092D2DFD6,Shipped,1,487,BENGALURU,KARNATAKA,560022
28289,404-9638556-5261154,04-13-22,Shipped,Amazon,kurta,M,B07H7FZD32,Shipped,1,568,HYDERABAD,TELANGANA,500060
28290,404-9638556-5261154,04-13-22,Shipped,Amazon,Set,L,B09KXTVG9R,Cancelled,0,360,HYDERABAD,TELANGANA,500060
28291,404-9638556-5261154,04-13-22,Shipped,Amazon,kurta,L,B07H7FBV3Z,Shipped,1,518,HYDERABAD,TELANGANA,500060
28292,404-8255025-8316328,04-13-22,Shipped - Delivered to Buyer,Merchant,Set,M,B09B57XLKV,Shipped,1,0,HYDERABAD,TELANGANA,500060
28293,404-1757324-5873159,04-13-22,Shipped,Amazon,Set,M,B09KXSX7P9,Shipped,1,518,HYDERABAD,TELANGANA,500060
28294,402-5360598-2134711,04-13-22,Shipped - Delivered to Buyer,Merchant,Western Dress,3XL,B08B3YMCZK,Shipped,2,716,HYDERABAD,TELANGANA,500062
28295,402-4097960-2031535,04-13-22,Cancelled,Amazon,kurta,3XL,B08RP3HQH3,Cancelled,0,820,kolkata,WEST BENGAL,700039
28296,403-0176685-7621953,04-13-22,Shipped,Amazon,Set,S,B0983F2ZJW,Shipped,1,1798,Belthara Road,UTTAR PRADESH,221715
